COUNTRY|TRAIN|TEST|DEATHS_FORECAST|COUNTS_DAY
Canada|231.42|169.84|5673|287.0, 380.83, 375.76, 350.07, 360.7, 367.12, 359.04, 354.19, 357.17, 357.94, 354.97, 353.81, 354.61, 354.38, 353.35, 353.05
Denmark|30.07|39.15|251|0.0, 30.37, 27.8, 26.07, 22.85, 20.92, 18.72, 16.26, 14.44, 13.72, 12.55, 11.45, 10.45, 9.54, 8.75, 8.04
France|588.32|780.96|7673|0.0, 492.51, 489.03, 551.5, 741.26, 735.49, 564.61, 466.71, 442.15, 427.89, 431.34, 439.06, 455.87, 493.85, 476.04, 466.39
Germany|389.87|224.50|6403|240.0, 480.82, 541.74, 530.8, 492.79, 450.0, 396.39, 404.27, 399.68, 393.82, 378.75, 362.03, 347.24, 335.7, 328.72, 320.94
Netherlands|78.09|40.70|13352|431.0, 417.29, 469.14, 532.17, 618.06, 742.62, 910.38, 1113.78, 1266.68, 1232.13, 1014.97, 896.59, 848.55, 872.61, 957.87, 1028.5
United Kingdom|383.94|183.21|11063|771.0, 732.94, 722.43, 711.56, 700.92, 693.04, 687.2, 682.38, 678.37, 675.07, 672.4, 670.23, 668.46, 667.03, 665.86, 664.9
Italy|285.35|73.71|2950|295.0, 245.94, 228.0, 218.06, 201.13, 187.53, 180.22, 172.42, 166.69, 161.11, 156.39, 152.82, 149.68, 147.16, 144.99, 143.16
Israel|85.73|936.03|15768|1313.0, 480.86, 653.36, 854.83, 955.04, 1220.55, 1089.72, 1110.98, 1059.58, 1024.6, 970.54, 986.14, 974.41, 1010.3, 1018.57, 1045.88
Australia|17.52|182.06|4349|377.0, 450.03, 359.93, 344.9, 350.68, 308.34, 280.99, 274.84, 262.8, 224.83, 219.13, 206.6, 192.46, 168.51, 172.39, 156.44
Luxembourg|9.40|44.07|1198|0.0, 94.81, 79.98, 86.75, 84.87, 83.33, 73.27, 78.14, 83.05, 76.69, 76.2, 77.84, 76.45, 74.9, 75.34, 76.9
Japan|49.16|575.84|17867|1709.0, 1992.47, 2505.29, 1305.48, 1217.56, 678.82, 654.52, 879.22, 954.57, 1068.77, 1034.61, 797.95, 759.61, 747.92, 755.9, 805.84
Portugal|64.77|93.41|4481|238.0, 228.22, 260.64, 258.1, 264.77, 266.33, 263.39, 276.31, 279.35, 286.12, 292.59, 293.82, 304.31, 310.9, 321.97, 337.04
Croatia|14.34|33.73|700|86.0, 56.25, 50.14, 49.15, 48.57, 49.61, 48.77, 45.63, 41.3, 38.64, 35.66, 33.8, 32.17, 30.44, 28.44, 26.42
Finland|20.41|10.30|395|11.0, 18.46, 23.03, 25.25, 26.14, 26.93, 26.67, 26.59, 26.51, 26.45, 26.44, 26.43, 26.43, 26.44, 26.44, 26.44
Ireland|112.23|19.32|259|44.0, 19.25, 18.53, 17.79, 18.31, 15.29, 14.42, 13.19, 12.96, 12.75, 12.57, 12.41, 12.21, 12.1, 12.02, 11.98
Iceland|7.20|3.49|25|8.0, 2.97, 2.19, 1.85, 1.58, 1.02, 0.98, 0.9, 0.85, 0.82, 0.77, 0.76, 0.75, 0.75, 0.74, 0.74
Norway|21.51|10.36|136|0.0, 9.01, 12.1, 14.32, 15.08, 20.44, 4.08, 6.26, 6.49, 7.7, 8.52, 9.4, 9.51, 4.1, 4.73, 4.9
New Zealand|4.38|2.98|117|3.0, 4.46, 5.68, 6.21, 6.71, 7.13, 7.48, 7.79, 8.03, 8.24, 8.42, 8.57, 8.69, 8.79, 8.88, 8.95
Brazil|3743.38|10877.26|613615|45392.0, 20298.03, 48320.5, 42543.22, 43080.14, 44704.99, 38846.22, 23847.49, 27787.02, 46609.95, 47311.86, 45064.46, 43700.1, 35627.02, 23921.77, 36561.12
Mexico|427.34|1764.73|186397|9556.0, 7802.98, 8842.28, 10199.28, 11493.5, 10324.61, 9715.92, 10594.87, 11631.25, 13551.56, 13455.84, 12773.26, 12562.61, 12993.58, 14760.68, 16139.07
United States|4248.94|6680.83|1091992|58407.0, 63857.0, 66553.3, 67049.71, 66448.82, 67184.02, 67967.12, 68872.04, 69392.78, 69673.89, 70065.33, 70531.46, 70997.19, 71371.03, 71668.8, 71953.04
India|928.20|5194.67|760786|54735.0, 49386.66, 48764.13, 48487.12, 48298.3, 48071.22, 47738.57, 47322.05, 46862.07, 46482.98, 46258.59, 46045.92, 45851.58, 45667.51, 45490.9, 45323.53
Russia|432.68|2449.45|62828|5462.0, 5109.42, 4809.91, 4613.89, 4419.44, 4234.33, 4059.76, 3895.45, 3740.7, 3594.73, 3456.42, 3325.36, 3200.53, 3081.4, 2967.35, 2857.88
Poland|81.86|120.07|5193|658.0, 459.25, 326.26, 324.49, 303.17, 299.33, 293.01, 288.07, 285.07, 282.72, 281.15, 279.96, 279.11, 278.49, 278.04, 277.71
Sweden|222.11|221.48|4835|0.0, 100.6, 382.71, 416.67, 441.76, 356.49, 245.83, 138.17, 199.3, 406.61, 583.09, 484.37, 391.9, 282.09, 182.36, 223.44
